model,metric,group,n_judged,n_abstained,mean,median,std
gsi_elo_no_th__beta1.0000_temp10.0000,response_quality,quality,15,0,0.7,0.7,0.1558
gsi_elo_no_th__beta1.0000_temp10.0000,relevance,quality,15,0,0.66,0.8,0.3158
gsi_elo_no_th__beta1.0000_temp10.0000,helpfulness,quality,15,0,0.54,0.7,0.2667
gsi_elo_no_th__beta1.0000_temp10.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.0000_temp10.0000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.0000_temp10.0000,refusal,safety,15,0,0.5933,0.6,0.2789
gsi_elo_no_th__beta1.0000_temp10.0000,toxicity_detoxify,safety,15,0,0.0212,0.0013,0.0633
gsi_elo_no_th__beta1.0000_temp11.2500,response_quality,quality,15,0,0.7133,0.7,0.1807
gsi_elo_no_th__beta1.0000_temp11.2500,relevance,quality,15,0,0.66,0.8,0.3247
gsi_elo_no_th__beta1.0000_temp11.2500,helpfulness,quality,15,0,0.5333,0.7,0.3086
gsi_elo_no_th__beta1.0000_temp11.2500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.0000_temp11.2500,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.0000_temp11.2500,refusal,safety,15,0,0.5533,0.6,0.3182
gsi_elo_no_th__beta1.0000_temp11.2500,toxicity_detoxify,safety,15,0,0.0267,0.0013,0.0696
gsi_elo_no_th__beta1.0000_temp12.5000,response_quality,quality,15,0,0.7,0.7,0.1852
gsi_elo_no_th__beta1.0000_temp12.5000,relevance,quality,15,0,0.64,0.6,0.2971
gsi_elo_no_th__beta1.0000_temp12.5000,helpfulness,quality,15,0,0.4667,0.5,0.2944
gsi_elo_no_th__beta1.0000_temp12.5000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.0000_temp12.5000,harmfulness,safety,15,0,0.0333,0.0,0.09
gsi_elo_no_th__beta1.0000_temp12.5000,refusal,safety,15,0,0.6267,0.6,0.3262
gsi_elo_no_th__beta1.0000_temp12.5000,toxicity_detoxify,safety,15,0,0.0116,0.0009,0.0346
gsi_elo_no_th__beta1.0000_temp13.7500,response_quality,quality,15,0,0.7267,0.7,0.1438
gsi_elo_no_th__beta1.0000_temp13.7500,relevance,quality,15,0,0.6667,0.8,0.292
gsi_elo_no_th__beta1.0000_temp13.7500,helpfulness,quality,15,0,0.6,0.7,0.2591
gsi_elo_no_th__beta1.0000_temp13.7500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.0000_temp13.7500,harmfulness,safety,15,0,0.02,0.0,0.0775
gsi_elo_no_th__beta1.0000_temp13.7500,refusal,safety,15,0,0.54,0.6,0.3043
gsi_elo_no_th__beta1.0000_temp13.7500,toxicity_detoxify,safety,15,0,0.0037,0.0012,0.0062
gsi_elo_no_th__beta1.0000_temp15.0000,response_quality,quality,15,0,0.62,0.7,0.1897
gsi_elo_no_th__beta1.0000_temp15.0000,relevance,quality,15,0,0.7133,0.9,0.285
gsi_elo_no_th__beta1.0000_temp15.0000,helpfulness,quality,15,0,0.5267,0.7,0.2712
gsi_elo_no_th__beta1.0000_temp15.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.0000_temp15.0000,harmfulness,safety,15,0,0.06,0.0,0.1844
gsi_elo_no_th__beta1.0000_temp15.0000,refusal,safety,15,0,0.5933,0.6,0.3515
gsi_elo_no_th__beta1.0000_temp15.0000,toxicity_detoxify,safety,15,0,0.0028,0.0009,0.0066
gsi_elo_no_th__beta1.3750_temp10.0000,response_quality,quality,15,0,0.7267,0.7,0.0961
gsi_elo_no_th__beta1.3750_temp10.0000,relevance,quality,15,0,0.6733,0.7,0.2764
gsi_elo_no_th__beta1.3750_temp10.0000,helpfulness,quality,15,0,0.5467,0.7,0.3182
gsi_elo_no_th__beta1.3750_temp10.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.3750_temp10.0000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.3750_temp10.0000,refusal,safety,15,0,0.6,0.6,0.2803
gsi_elo_no_th__beta1.3750_temp10.0000,toxicity_detoxify,safety,15,0,0.0026,0.0007,0.0049
gsi_elo_no_th__beta1.3750_temp11.2500,response_quality,quality,15,0,0.72,0.7,0.1265
gsi_elo_no_th__beta1.3750_temp11.2500,relevance,quality,15,0,0.6067,0.6,0.1981
gsi_elo_no_th__beta1.3750_temp11.2500,helpfulness,quality,15,0,0.5533,0.6,0.2669
gsi_elo_no_th__beta1.3750_temp11.2500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.3750_temp11.2500,harmfulness,safety,15,0,0.06,0.0,0.1844
gsi_elo_no_th__beta1.3750_temp11.2500,refusal,safety,15,0,0.6267,0.6,0.2154
gsi_elo_no_th__beta1.3750_temp11.2500,toxicity_detoxify,safety,15,0,0.0047,0.0008,0.0088
gsi_elo_no_th__beta1.3750_temp12.5000,response_quality,quality,15,0,0.7133,0.7,0.1457
gsi_elo_no_th__beta1.3750_temp12.5000,relevance,quality,15,0,0.5467,0.6,0.2356
gsi_elo_no_th__beta1.3750_temp12.5000,helpfulness,quality,15,0,0.5333,0.6,0.3086
gsi_elo_no_th__beta1.3750_temp12.5000,toxicity,safety,15,0,0.02,0.0,0.0775
gsi_elo_no_th__beta1.3750_temp12.5000,harmfulness,safety,15,0,0.08,0.0,0.1935
gsi_elo_no_th__beta1.3750_temp12.5000,refusal,safety,15,0,0.5533,0.6,0.2446
gsi_elo_no_th__beta1.3750_temp12.5000,toxicity_detoxify,safety,15,0,0.0045,0.0007,0.0088
gsi_elo_no_th__beta1.3750_temp13.7500,response_quality,quality,15,0,0.6733,0.7,0.1792
gsi_elo_no_th__beta1.3750_temp13.7500,relevance,quality,15,0,0.58,0.7,0.3144
gsi_elo_no_th__beta1.3750_temp13.7500,helpfulness,quality,15,0,0.5733,0.6,0.2549
gsi_elo_no_th__beta1.3750_temp13.7500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.3750_temp13.7500,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.3750_temp13.7500,refusal,safety,15,0,0.5867,0.6,0.2642
gsi_elo_no_th__beta1.3750_temp13.7500,toxicity_detoxify,safety,15,0,0.0042,0.0009,0.008
gsi_elo_no_th__beta1.3750_temp15.0000,response_quality,quality,15,0,0.6933,0.7,0.1486
gsi_elo_no_th__beta1.3750_temp15.0000,relevance,quality,15,0,0.54,0.6,0.3418
gsi_elo_no_th__beta1.3750_temp15.0000,helpfulness,quality,15,0,0.6267,0.7,0.2604
gsi_elo_no_th__beta1.3750_temp15.0000,toxicity,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.3750_temp15.0000,harmfulness,safety,15,0,0.1,0.0,0.2299
gsi_elo_no_th__beta1.3750_temp15.0000,refusal,safety,15,0,0.56,0.6,0.3203
gsi_elo_no_th__beta1.3750_temp15.0000,toxicity_detoxify,safety,15,0,0.0044,0.0007,0.0092
gsi_elo_no_th__beta1.7500_temp10.0000,response_quality,quality,15,0,0.7533,0.8,0.064
gsi_elo_no_th__beta1.7500_temp10.0000,relevance,quality,15,0,0.5867,0.6,0.285
gsi_elo_no_th__beta1.7500_temp10.0000,helpfulness,quality,15,0,0.6267,0.7,0.2282
gsi_elo_no_th__beta1.7500_temp10.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.7500_temp10.0000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.7500_temp10.0000,refusal,safety,15,0,0.5733,0.6,0.324
gsi_elo_no_th__beta1.7500_temp10.0000,toxicity_detoxify,safety,15,0,0.0083,0.001,0.0265
gsi_elo_no_th__beta1.7500_temp11.2500,response_quality,quality,15,0,0.74,0.7,0.0737
gsi_elo_no_th__beta1.7500_temp11.2500,relevance,quality,15,0,0.6067,0.7,0.3432
gsi_elo_no_th__beta1.7500_temp11.2500,helpfulness,quality,15,0,0.6333,0.8,0.2968
gsi_elo_no_th__beta1.7500_temp11.2500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.7500_temp11.2500,harmfulness,safety,15,0,0.04,0.0,0.1549
gsi_elo_no_th__beta1.7500_temp11.2500,refusal,safety,15,0,0.5533,0.6,0.3114
gsi_elo_no_th__beta1.7500_temp11.2500,toxicity_detoxify,safety,15,0,0.0014,0.001,0.0009
gsi_elo_no_th__beta1.7500_temp12.5000,response_quality,quality,15,0,0.78,0.8,0.0561
gsi_elo_no_th__beta1.7500_temp12.5000,relevance,quality,15,0,0.66,0.7,0.272
gsi_elo_no_th__beta1.7500_temp12.5000,helpfulness,quality,15,0,0.5733,0.7,0.2815
gsi_elo_no_th__beta1.7500_temp12.5000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta1.7500_temp12.5000,harmfulness,safety,15,0,0.06,0.0,0.1844
gsi_elo_no_th__beta1.7500_temp12.5000,refusal,safety,15,0,0.6067,0.6,0.284
gsi_elo_no_th__beta1.7500_temp12.5000,toxicity_detoxify,safety,15,0,0.0076,0.0009,0.0177
gsi_elo_no_th__beta1.7500_temp13.7500,response_quality,quality,15,0,0.7533,0.8,0.106
gsi_elo_no_th__beta1.7500_temp13.7500,relevance,quality,15,0,0.66,0.7,0.2028
gsi_elo_no_th__beta1.7500_temp13.7500,helpfulness,quality,15,0,0.5667,0.7,0.2743
gsi_elo_no_th__beta1.7500_temp13.7500,toxicity,safety,15,0,0.02,0.0,0.0775
gsi_elo_no_th__beta1.7500_temp13.7500,harmfulness,safety,15,0,0.06,0.0,0.1844
gsi_elo_no_th__beta1.7500_temp13.7500,refusal,safety,15,0,0.5667,0.6,0.3177
gsi_elo_no_th__beta1.7500_temp13.7500,toxicity_detoxify,safety,15,0,0.0059,0.0009,0.0168
gsi_elo_no_th__beta1.7500_temp15.0000,response_quality,quality,15,0,0.7533,0.8,0.106
gsi_elo_no_th__beta1.7500_temp15.0000,relevance,quality,15,0,0.66,0.7,0.2028
gsi_elo_no_th__beta1.7500_temp15.0000,helpfulness,quality,15,0,0.5533,0.6,0.2722
gsi_elo_no_th__beta1.7500_temp15.0000,toxicity,safety,15,0,0.02,0.0,0.0775
gsi_elo_no_th__beta1.7500_temp15.0000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta1.7500_temp15.0000,refusal,safety,15,0,0.5667,0.6,0.3177
gsi_elo_no_th__beta1.7500_temp15.0000,toxicity_detoxify,safety,15,0,0.0059,0.0009,0.0168
gsi_elo_no_th__beta2.1250_temp10.0000,response_quality,quality,15,0,0.76,0.8,0.091
gsi_elo_no_th__beta2.1250_temp10.0000,relevance,quality,15,0,0.6533,0.7,0.3044
gsi_elo_no_th__beta2.1250_temp10.0000,helpfulness,quality,15,0,0.54,0.6,0.2586
gsi_elo_no_th__beta2.1250_temp10.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.1250_temp10.0000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta2.1250_temp10.0000,refusal,safety,15,0,0.66,0.6,0.2444
gsi_elo_no_th__beta2.1250_temp10.0000,toxicity_detoxify,safety,15,0,0.0196,0.0011,0.0629
gsi_elo_no_th__beta2.1250_temp11.2500,response_quality,quality,15,0,0.7533,0.8,0.0915
gsi_elo_no_th__beta2.1250_temp11.2500,relevance,quality,15,0,0.64,0.7,0.2971
gsi_elo_no_th__beta2.1250_temp11.2500,helpfulness,quality,15,0,0.5467,0.7,0.2696
gsi_elo_no_th__beta2.1250_temp11.2500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.1250_temp11.2500,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta2.1250_temp11.2500,refusal,safety,15,0,0.72,0.6,0.1656
gsi_elo_no_th__beta2.1250_temp11.2500,toxicity_detoxify,safety,15,0,0.0195,0.0007,0.0629
gsi_elo_no_th__beta2.1250_temp12.5000,response_quality,quality,15,0,0.7333,0.7,0.09
gsi_elo_no_th__beta2.1250_temp12.5000,relevance,quality,15,0,0.6067,0.6,0.2815
gsi_elo_no_th__beta2.1250_temp12.5000,helpfulness,quality,15,0,0.52,0.6,0.2597
gsi_elo_no_th__beta2.1250_temp12.5000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.1250_temp12.5000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta2.1250_temp12.5000,refusal,safety,15,0,0.6067,0.6,0.2815
gsi_elo_no_th__beta2.1250_temp12.5000,toxicity_detoxify,safety,15,0,0.0186,0.0012,0.0627
gsi_elo_no_th__beta2.1250_temp13.7500,response_quality,quality,15,0,0.7267,0.7,0.0799
gsi_elo_no_th__beta2.1250_temp13.7500,relevance,quality,15,0,0.6067,0.8,0.3348
gsi_elo_no_th__beta2.1250_temp13.7500,helpfulness,quality,15,0,0.5,0.7,0.2726
gsi_elo_no_th__beta2.1250_temp13.7500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.1250_temp13.7500,harmfulness,safety,15,0,0.0933,0.0,0.2017
gsi_elo_no_th__beta2.1250_temp13.7500,refusal,safety,15,0,0.6267,0.6,0.2434
gsi_elo_no_th__beta2.1250_temp13.7500,toxicity_detoxify,safety,15,0,0.0086,0.0008,0.0259
gsi_elo_no_th__beta2.1250_temp15.0000,response_quality,quality,15,0,0.72,0.7,0.0561
gsi_elo_no_th__beta2.1250_temp15.0000,relevance,quality,15,0,0.6067,0.7,0.2789
gsi_elo_no_th__beta2.1250_temp15.0000,helpfulness,quality,15,0,0.5133,0.5,0.2475
gsi_elo_no_th__beta2.1250_temp15.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.1250_temp15.0000,harmfulness,safety,15,0,0.06,0.0,0.1682
gsi_elo_no_th__beta2.1250_temp15.0000,refusal,safety,15,0,0.68,0.6,0.1373
gsi_elo_no_th__beta2.1250_temp15.0000,toxicity_detoxify,safety,15,0,0.009,0.001,0.0262
gsi_elo_no_th__beta2.5000_temp10.0000,response_quality,quality,15,0,0.7667,0.8,0.0976
gsi_elo_no_th__beta2.5000_temp10.0000,relevance,quality,15,0,0.6533,0.7,0.3044
gsi_elo_no_th__beta2.5000_temp10.0000,helpfulness,quality,15,0,0.5333,0.6,0.2498
gsi_elo_no_th__beta2.5000_temp10.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.5000_temp10.0000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta2.5000_temp10.0000,refusal,safety,15,0,0.66,0.6,0.2444
gsi_elo_no_th__beta2.5000_temp10.0000,toxicity_detoxify,safety,15,0,0.0196,0.0011,0.0629
gsi_elo_no_th__beta2.5000_temp11.2500,response_quality,quality,15,0,0.7533,0.8,0.0915
gsi_elo_no_th__beta2.5000_temp11.2500,relevance,quality,15,0,0.64,0.7,0.2971
gsi_elo_no_th__beta2.5000_temp11.2500,helpfulness,quality,15,0,0.5467,0.7,0.2696
gsi_elo_no_th__beta2.5000_temp11.2500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.5000_temp11.2500,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta2.5000_temp11.2500,refusal,safety,15,0,0.7133,0.6,0.1685
gsi_elo_no_th__beta2.5000_temp11.2500,toxicity_detoxify,safety,15,0,0.0195,0.0007,0.0629
gsi_elo_no_th__beta2.5000_temp12.5000,response_quality,quality,15,0,0.7333,0.7,0.09
gsi_elo_no_th__beta2.5000_temp12.5000,relevance,quality,15,0,0.6067,0.6,0.2815
gsi_elo_no_th__beta2.5000_temp12.5000,helpfulness,quality,15,0,0.52,0.6,0.2597
gsi_elo_no_th__beta2.5000_temp12.5000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.5000_temp12.5000,harmfulness,safety,15,0,0.0467,0.0,0.1807
gsi_elo_no_th__beta2.5000_temp12.5000,refusal,safety,15,0,0.6067,0.6,0.2815
gsi_elo_no_th__beta2.5000_temp12.5000,toxicity_detoxify,safety,15,0,0.0186,0.0012,0.0627
gsi_elo_no_th__beta2.5000_temp13.7500,response_quality,quality,15,0,0.7267,0.7,0.0799
gsi_elo_no_th__beta2.5000_temp13.7500,relevance,quality,15,0,0.6067,0.8,0.3348
gsi_elo_no_th__beta2.5000_temp13.7500,helpfulness,quality,15,0,0.5,0.7,0.2726
gsi_elo_no_th__beta2.5000_temp13.7500,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.5000_temp13.7500,harmfulness,safety,15,0,0.0933,0.0,0.2017
gsi_elo_no_th__beta2.5000_temp13.7500,refusal,safety,15,0,0.6267,0.6,0.2434
gsi_elo_no_th__beta2.5000_temp13.7500,toxicity_detoxify,safety,15,0,0.0086,0.0008,0.0259
gsi_elo_no_th__beta2.5000_temp15.0000,response_quality,quality,15,0,0.72,0.7,0.0561
gsi_elo_no_th__beta2.5000_temp15.0000,relevance,quality,15,0,0.6067,0.7,0.2789
gsi_elo_no_th__beta2.5000_temp15.0000,helpfulness,quality,15,0,0.5133,0.5,0.2475
gsi_elo_no_th__beta2.5000_temp15.0000,toxicity,safety,15,0,0.0,0.0,0.0
gsi_elo_no_th__beta2.5000_temp15.0000,harmfulness,safety,15,0,0.06,0.0,0.1682
gsi_elo_no_th__beta2.5000_temp15.0000,refusal,safety,15,0,0.68,0.6,0.1373
gsi_elo_no_th__beta2.5000_temp15.0000,toxicity_detoxify,safety,15,0,0.009,0.001,0.0262
gsi_softmax_no_th__beta1.0000_temp10.0000,response_quality,quality,15,0,0.7467,0.7,0.0743
gsi_softmax_no_th__beta1.0000_temp10.0000,relevance,quality,15,0,0.5867,0.7,0.3314
gsi_softmax_no_th__beta1.0000_temp10.0000,helpfulness,quality,15,0,0.5867,0.7,0.2696
